"filename", "language", "Dart", "comment", "blank", "total"
"/Users/wangwangjunbei/Documents/sfss/lib/__old/collectionHeader.dart", "Dart", 160, 1, 5, 166
"/Users/wangwangjunbei/Documents/sfss/lib/__old/detail/pageDetail.dart", "Dart", 311, 0, 5, 316
"/Users/wangwangjunbei/Documents/sfss/lib/__old/historyPreview.dart", "Dart", 215, 2, 5, 222
"/Users/wangwangjunbei/Documents/sfss/lib/__old/login/pageLogin.dart", "Dart", 129, 3, 10, 142
"/Users/wangwangjunbei/Documents/sfss/lib/__old/navigationBar.dart", "Dart", 86, 1, 4, 91
"/Users/wangwangjunbei/Documents/sfss/lib/__old/pagePome.dart", "Dart", 91, 0, 4, 95
"/Users/wangwangjunbei/Documents/sfss/lib/__old/register/pageRegister.dart", "Dart", 127, 3, 10, 140
"/Users/wangwangjunbei/Documents/sfss/lib/__old/smallCardItem.dart", "Dart", 105, 1, 1, 107
"/Users/wangwangjunbei/Documents/sfss/lib/config/roughter.dart", "Dart", 29, 0, 4, 33
"/Users/wangwangjunbei/Documents/sfss/lib/data/food_data.dart", "Dart", 28, 0, 1, 29
"/Users/wangwangjunbei/Documents/sfss/lib/data/sfss_data.dart", "Dart", 294, 0, 0, 294
"/Users/wangwangjunbei/Documents/sfss/lib/enums/solar_term_enums.dart", "Dart", 52, 0, 1, 53
"/Users/wangwangjunbei/Documents/sfss/lib/main.dart", "Dart", 14, 0, 3, 17
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/page_home.dart", "Dart", 114, 2, 4, 120
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/collection.dart", "Dart", 271, 22, 7, 300
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/community/screen_community.dart", "Dart", 407, 26, 12, 445
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/community/user_post_card.dart", "Dart", 158, 0, 3, 161
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/edit_record/screen_edit_record.dart", "Dart", 387, 4, 11, 402
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/history.dart", "Dart", 289, 8, 9, 306
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/home/diet_progress.dart", "Dart", 97, 0, 4, 101
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/home/popular_topics.dart", "Dart", 107, 1, 4, 112
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/home/record_overview.dart", "Dart", 199, 0, 5, 204
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/home/screen_home.dart", "Dart", 217, 13, 11, 241
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/home/today_food_info.dart", "Dart", 57, 7, 3, 67
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/recommend.dart", "Dart", 247, 9, 11, 267
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/solar_term/badge_display.dart", "Dart", 66, 0, 8, 74
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/solar_term/food_card.dart", "Dart", 110, 2, 6, 118
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/solar_term/screen_solar_term.dart", "Dart", 417, 36, 17, 470
"/Users/wangwangjunbei/Documents/sfss/lib/pages/home/screens/today.dart", "Dart", 291, 18, 14, 323
"/Users/wangwangjunbei/Documents/sfss/lib/pages/page_record_edit/page_record_edit.dart", "Dart", 452, 1, 21, 474
"/Users/wangwangjunbei/Documents/sfss/lib/pages/welcome/page_welcome_login.dart", "Dart", 598, 25, 24, 647
"/Users/wangwangjunbei/Documents/sfss/lib/plugins/adapter.dart", "Dart", 141, 0, 5, 146
"/Users/wangwangjunbei/Documents/sfss/lib/plugins/widget_adapter.dart", "Dart", 144, 0, 8, 152
"/Users/wangwangjunbei/Documents/sfss/lib/styles/sfss_style.dart", "Dart", 40, 1, 6, 47
"/Users/wangwangjunbei/Documents/sfss/lib/utils/animation_helper.dart", "Dart", 30, 0, 3, 33
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/adaptive_columns.dart", "Dart", 76, 0, 8, 84
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/adaptive_list_views.dart", "Dart", 105, 0, 8, 113
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/adaptive_widget.dart", "Dart", 28, 0, 6, 34
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/fit_width_image.dart", "Dart", 74, 1, 5, 80
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/heatmap_calendar.dart", "Dart", 90, 1, 6, 97
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/no_animation_page_roughter.dart", "Dart", 10, 0, 2, 12
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/sfss_widget.dart", "Dart", 128, 0, 6, 134
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/solar_term_badge.dart", "Dart", 67, 1, 3, 71
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/tab_bar.dart", "Dart", 129, 7, 4, 140
"/Users/wangwangjunbei/Documents/sfss/lib/widgets/top_toggle.dart", "Dart", 74, 0, 6, 80
"Total", "-", 7261, 196, 303, 7760